window_idx,i,j,satellite_i,satellite_j,peak_coherence,peak_delay_ns,mean_coherence,p95_coherence
0,3,6,,,0.9999999912359793,-3610.6666666666665,0.9999999522003904,0.9999999703909053
0,3,7,,,0.9999999912359793,-3610.6666666666665,0.9999999522003904,0.9999999703909053
0,3,8,,,0.9954419469781416,3306.6666666666665,0.8992594055327388,0.9253748161546966
0,3,9,,,0.9999999714791621,-3605.333333333333,0.9999998619921874,0.9999999179882864
0,3,10,,,0.9999999714791621,-3605.333333333333,0.9999998619921874,0.9999999179882864
0,3,11,,,2.2466192529617373e-21,3690.6666666666665,2.184872958400341e-22,6.027653505341253e-22
0,3,12,,,2.2466192529617373e-21,3690.6666666666665,2.184872958400341e-22,6.027653505341253e-22
0,3,13,,,2.2445098127107973e-21,3690.6666666666665,2.1883668646868707e-22,6.062653438248579e-22
0,3,14,,,2.2445098127107973e-21,3690.6666666666665,2.1883668646868707e-22,6.062653438248579e-22
0,3,15,,,2.2377728584177954e-21,3690.6666666666665,2.2048177172759345e-22,6.143955988822524e-22
0,3,16,,,1.5099974745732004e-20,-3626.6666666666665,1.110795734700209e-21,3.1503173019280473e-21
0,3,17,,,1.5746689692963415e-20,-3626.6666666666665,1.0939060845866423e-21,3.21133526883645e-21
0,3,18,,,1.5746689692963415e-20,-3626.6666666666665,1.0939060845866423e-21,3.21133526883645e-21
0,3,19,,,1.4710890749632844e-20,-3626.6666666666665,1.1122258149283675e-21,3.0818427623311637e-21
0,3,20,,,1.667111467463429e-20,-3626.6666666666665,1.0751829575896042e-21,3.2435392271465563e-21
0,3,21,,,1.667111467463429e-20,-3626.6666666666665,1.0751829575896042e-21,3.2435392271465563e-21
0,3,22,,,0.9691890102296841,-3631.9999999999995,0.6589427189128352,0.7593370656236533
0,3,23,,,0.9692231170086977,-3631.9999999999995,0.6584090117415582,0.7588877733827092
0,3,24,,,0.9691903291361754,-3631.9999999999995,0.658846147339843,0.7592667033219628
0,3,25,,,0.969212430877948,-3631.9999999999995,0.6586254299648062,0.759075709925405
0,3,26,,,0.969212430877948,-3631.9999999999995,0.6586254299648062,0.759075709925405
0,3,27,,,0.9692364916063413,-3631.9999999999995,0.6583190950030601,0.7588107705474801
0,3,28,,,1.834921494843865e-19,-3626.6666666666665,1.404255946402936e-20,3.9098298656195056e-20
0,3,29,,,1.834921494843865e-19,-3626.6666666666665,1.404255946402936e-20,3.9098298656195056e-20
0,3,30,,,1.8420046027458558e-19,-3626.6666666666665,1.4824397475271603e-20,3.9699364004392805e-20
0,3,31,,,1.8390491099173522e-19,-3626.6666666666665,1.4676837028152722e-20,3.945754211351531e-20
0,3,32,,,1.838764162302216e-19,-3626.6666666666665,1.458691791160341e-20,3.9404794487858585e-20
